term,phonetic,partOfSpeech,description,Brand/project name,Simplified Chinese,French,German,Indonesian,Italian,Korean,Persian,Brazilian Portuguese,Russian,Spanish,Filipino (Tagalog),Thai,Turkish,Vietnamese,Arabic,Traditional Chinese,Dutch,Greek,Hindi,Hungarian,Japanese,Polish,Ukrainian,Czech translation 2,Comments (Czech),Danish translation 1,Danish translation 2,Comments (Danish),Dutch translation 1,Dutch translation 2,Comments (Dutch),Filipino translation 1,Filipino translation 2,Comments (Filipino),Finnish translation 1,Finnish translation 2,Comments (Finnish),French translation 1,French translation 2,french translation 3,Comments (French),German translation 1,German translation 2,Comments (German),Greek translation 1,Greek translation 2,Comments (Greek),Hebrew translation 1,Hebrew translation 2,Comments (Hebrew),Hindi translation 1,Hindi translation 2,Comments (Hindi),Hungarian translation 1,Hungarian translation 2,Comments (Hungarian),Igbo translation 1,Igbo translation 2,Comments (Igbo),Indonesian translation 1,Indonesian translation 2,Comments (Indonesian),Italian translation 1,Italian translation 2,Comments (Italian),Japanese translation 1,Japanese translation 2,Comments (Japanese),Korean translation 1,Korean translation 2,Comments (Korean),Lithuanian translation 1,Lithuanian translation 2,Comments (Lithuanian),Malay translation 1,Malay translation 2,Comments (Malay),Malayalam translation 1,Malayalam translation 2,Comments (Malayalam),Marathi translation 1,Marathi translation 2,Comments (Marathi),Norwegian translation 1,Norwegian translation 2,Comments (Norwegian),Persian translation 1,Persian translation 2,Comments (Persian),Polish translation 1,Polish translation 2,Comments (Polish),Portuguese translation 1,Portuguese translation 2,Comments (Portuguese),Portuguese Brazilian translation 1,Portuguese Brazilian translation 2,Comments (Portuguese Brazilian),Romanian translation 1,Romanian translation 2,Comments (Romanian),Russian translation 1,Russian translation 2,Comments (Russian),Serbian translation 1,Serbian translation 2,Comments (Serbian),Slovak translation 1,Slovak translation 2,Comments (Slovak),Slovenian translation 1,Slovenian translation 2,Comments (Slovenian),Spanish translation 1,Spanish translation 2,Comments (Spanish),Swahili translation 1,Swahili translation 2,Comments (Swahili),Swedish translation 1,Swedish translation 2,Comments (Swedish),Tamil translation 1,Tamil translation 2,Comments (Tamil),Telugu translation 1,Telugu translation 2,Comments (Telugu),Thai translation 1,Thai translation 2,Comments (Thai),Turkish translation 1,Turkish translation 2,Comments (Turkish),Ukrainian translation 1,Ukrainian translation 2,Comments (Ukrainian),Uzbek translation 1,Uzbek translation 2,Comments (Uzbek),Vietnamese translation 1,Vietnamese translation 2,Comments (Vietnamese)
0x API,"The 0x API is the liquidity and data endpoint for DeFi. It lets you access aggregated liquidity from tens of on-chain and off-chain decentralized exchange networks, across multiple blockchains. It comes with many parameters to customize your requests for your application and your users:

API References",,,Brand name,0x API,0x API,0x API,0x API,0x API,0x API,0x API,API da 0x,0x API,0x API,0x API,0x API,0x API,0x API,واجهة برمجة تطبيقات 0x,0x API,0x API,0x API,0x API,0x API,0x API,0x API,0x API,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1inch,Decentralized exchange aggregator that aims to provide traders with the best price and lowest fees on their transactions.  1inch  ,,,Brand name,1inch,1inch,1inch,1inch,1inch,1 인치,وان اینچ,1inch,1inch,1inch,1inch,1inch,1inch,1 inch,1inch,1inch,1inch,1inch,1inch,1 hüvelyk,1inch,1inch,1inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Box Labs,"The inventors and core developers of Ceramic, the first decentralized network for composable data. Ceramic makes it possible for developers to build data-rich Web3 applications without needing a traditional database, and in the process, unlocks data composability and portability across every application within the Web3 ecosystem

3Box Labs ",,,Brand name,3Box Labs,3Box Labs,3Box Labs,2Box Labs,3Box Labs,쓰리박스 랩스,آزمایشگاه‌های 3Box,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,3Box Labs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51% Attack,"If more than half the computer power or mining hash rate on a network is run by a single person or a single group of people, then a 51% attack is in operation. This means that this entity has full control of the network and can negatively affect a cryptocurrency by taking over mining operations, stopping or changing transactions, and double-spending coins.",,,Ecosystem term,51%攻击,Attaque des 51 %,51% Attack,51% Attack,Attacco del 51%,51% 공격,حمله 51 درصدی,Ataque de 51%,Атака 51%,ataque del 51 %,51% Pag-atake,การโจมตี 51%,%51 Saldırısı,Tấn công 51%,هجوم 51٪,51%攻擊,51%-aanval,Επίθεση του 51%,51% अटैक,51%-os támadás,51% 攻撃,Atak 51%,Атака 51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aave,Aave is an open source protocol to create non-custodial liquidity markets to earn interest on supplying and borrowing assets with a variable or stable interest rate.,,,Brand name,Aave,Aave,Aave,Aave,Aave,에이브,آوه,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,Aave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Account," Accounts are records or statements of financial expenditure and receipts that relate to a particular period or purpose.  

In the world of crypto, this is referred to as a cryptocurrency account. It gives you certain benefits, and it is a requirement in order to use just about any cryptocurrency exchange. A cryptocurrency account gives you access to hot wallets, which allow you to quickly buy, sell and trade cryptocurrencies, and it gives you an identity or a way through which you can hold onto your public keys when it comes to the aforementioned process. 

Account ",,,Ecosystem term,账户,Compte,Konto,Akun,Account,계정,حساب,Conta,Счет,cuenta,Account,บัญชี,Hesap,Tài khoản,حساب,帳戶,account,Λογαριασμός,Account,fiók,アカウント,Konto,Обліковий запис,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH transfer,"ACH (Automated Clearing House) bank transfer is an electronic payment method that allows money to be transferred between bank accounts in the United States. It is a system that processes transactions in batches and is commonly used for direct deposit of paychecks, bill payments, and online money transfers.",,,Ecosystem term,自动清算中心（ACH）转账,Transfert ACH,ACH-Überweisung,Transfer ACH,Pagamento ACH,ACH 송금,حواله بین بانکی پایا,Transferência ACH,ACH-перевод,transferencia ACH,ACH na paglilipat,การโอน ACH,ACH transferi,Chuyển tiền ACH,تحويل ACH,存款自動轉帳服務,ACH-transactie,Μεταφορά αυτοματοποιημένου γραφείου συμψηφισμού,ACH ट्रांसफ़र,ACH-átutalás,ACH 送金,Przelew ACH,ACH-трансфер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"address/""public address"" (wallet address)","Used to send and receive transactions on a blockchain network, and to identify different users; also referred to as a 'public key'. An address is an alphanumeric character string, which can also be represented as a scannable QR code. In Ethereum, the address begins with 0x. For example: 0x06A85356DCb5b307096726FB86A78c59D38e08ee",,,Ecosystem term,地址/“公钥”（钱包地址）,adresse/ « adresse publique » (adresse du portefeuille),Adresse/„öffentliche Adresse“ (Wallet-Adresse),"alamat/""alamat publik"" (alamat dompet)","indirizzo/""indirizzo pubblico"" (indirizzo del wallet)","주소/""공개 주소""(지갑 주소)",آدرس /«آدرس عمومی»,"endereço/""endereço público"" (endereço da carteira)","адрес/""публичный адрес"" (адрес кошелька)","dirección/""dirección pública"" (dirección de monedero)","address/""pampublikong address"" (address ng wallet)",ที่อยู่,"adres/""genel adres"" (cüzdan adresi)","địa chỉ/""địa chỉ công khai"" (địa chỉ ví)","العنوان / ""العنوان العام"" (عنوان المحفظة)",收款地址（錢包地址）,"adres/""openbaar adres"" (wallet-adres)","διεύθυνση/""δημόσια διεύθυνση"" (διεύθυνση πορτοφολιού)","एड्रेस/""पब्लिक एड्रेस"" (वॉलेट एड्रेस)",cím/„nyilvános cím” (pénztárca címe),"アドレス/""パブリックアドレス"" (ウォレットアドレス)",Adres / „adres publiczny” (adres portfela),адреса/«публічна адреса» (адреса гаманця),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced,"In the context of ""Advanced gas controls"": it is an optional feature in the MetaMask wallet,  that gives you more control over the gas you pay in MetaMask.

Using advanced gas controls ",,,MetaMask term,高级,Avancé,Erweitert,Lanjutan,Avanzati,고급,پیشرفته,Avançado,Дополнительно,avanzados,Advanced,ขั้นสูง,Gelişmiş,Nâng cao,متقدم,進階,geavanceerd,Για προχωρημένους,एडवांस्ड,haladó,高度な設定,Ustawienia zaawansowane,Розширені,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
